id,target
414,0.01
415,0.669
416,0.9
417,0.487
418,0.26
419,0.693
420,0.285
421,0.46
422,0.51
423,0.49
424,0.16
425,0.03
426,0.975
427,0.44
428,0.0
429,0.607
430,0.77
431,0.83
432,0.46
433,0.01
434,0.26
435,0.71
436,0.635
437,0.17
438,0.82
439,0.4
440,0.033
441,0.0
442,0.12
443,0.43
444,1.0
445,0.635
446,0.302
447,0.65
448,0.29
449,0.165
450,0.23
451,0.95
452,0.518
453,0.628
454,0.55
455,0.671
456,1.0
457,0.641
458,1.0
459,0.413
460,0.56
461,0.352
462,0.21
463,0.065
464,1.0
465,0.95
466,0.65
467,0.02
468,0.165
469,0.272
470,0.637
471,0.06
472,0.501
473,0.236
474,0.455
475,0.2
476,0.25
477,0.01
478,0.32
479,0.66
480,0.01
481,0.92
482,0.486
483,0.25
484,0.04
485,0.726
486,0.635
487,0.479
488,0.435
489,0.01
490,0.574
491,0.523
492,0.66
493,0.6
494,0.05
495,0.586
496,0.359
497,0.35
498,1.0
499,0.598
500,0.12
501,0.115
502,0.01
503,0.95
504,0.535
505,0.816
506,0.252
507,0.0
508,0.772
509,1.0
510,0.148
511,0.12
512,0.651
513,0.635
514,0.03
515,0.74
516,0.61
517,0.083
518,0.538
519,0.388
520,0.622
521,0.34
522,0.28
523,0.74
524,0.388
525,0.706
526,0.92
527,0.486
528,0.752
529,0.377
530,0.486
531,0.032
532,0.213
533,0.99
534,0.01
535,0.21
536,0.0
537,0.0
538,0.388
539,0.067
540,0.89
541,0.95
542,0.651
543,0.0
544,0.576
545,0.01
546,0.0
547,0.365
548,0.661
549,1.0
550,0.388
551,0.926
552,0.752
553,0.015
554,0.45
555,0.0
556,0.02
557,0.755
558,0.422
559,0.77
560,0.0
561,0.9
562,0.637
563,0.618
564,0.121
565,0.54
566,0.433
567,0.031
568,0.645
569,0.47
570,0.36
571,0.718
572,0.125
573,0.303
574,0.41
575,0.63
576,0.376
577,0.017
578,0.836
579,0.01
580,0.636
581,0.062
582,0.8
583,0.206
584,0.606
585,0.242
586,1.0
587,0.565
588,0.62
589,0.0
590,0.384
591,0.466
592,0.99
593,0.482
594,0.8
595,0.74
596,0.01
597,0.04
598,0.395
599,0.431
600,0.02
601,0.18
602,0.693
603,0.175
604,0.172
605,0.656
606,0.89
607,0.214
608,0.12
609,0.0
610,0.254
611,0.247
612,0.307
613,0.48
614,0.149
615,0.772
616,0.1
617,0.01
618,0.558
619,0.0
620,0.97
621,0.92
622,0.55
623,0.648
624,0.116
625,0.77
626,0.71
627,0.625
628,0.574
629,0.573
630,0.288
631,0.785
632,0.197
633,0.03
634,0.9
635,0.637
636,0.02
637,0.79
638,0.045
639,0.63
640,0.222
641,0.01
642,0.887
643,0.476
644,0.0
645,0.92
646,0.699
647,0.726
648,0.97
649,0.637
650,0.343
651,0.082
652,0.693
653,0.926
654,0.372
655,0.128
656,0.99
657,0.02
658,0.04
659,0.0
660,0.71
661,0.8
662,0.53
663,0.28
664,0.975
665,0.0
666,0.616
667,0.0
668,0.05
669,1.0
670,0.726
671,0.471
672,0.48
673,0.03
674,0.67
675,0.538
676,0.132
677,0.21
678,0.367
679,0.07
680,0.722
681,0.94
682,0.13
683,0.176
684,0.652
685,0.95
686,0.005
687,0.637
688,0.0
689,0.801
